business,metro,niche,website,public_contact,observation,lead_recovery_hypothesis,first_contact_date,channel,status,next_step,opt_out,notes
Mr. Rooter Plumbing of San Diego,"San Diego, CA",plumbing,https://www.mrrooter.com/locations/california/san-diego/emergency-plumber/,(858) 278-7600,"Homepage emphasizes emergency plumbing services for gas leaks, water heater failures, and sewer lines in San Diego; phone number prominently displayed.",Ask how after-hours emergency calls and web inquiries are logged and whether missed calls receive a callback within a target SLA.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
San Diego Emergency Plumber,"San Diego, CA",plumbing,https://sandiegoemergencyplumber.org/,(858) 392-8090,Site advertises 24/7 emergency plumbing with licensed and insured status; phone and email (info@sandiegoemergencyplumber.org) visible on homepage.,Ask whether 24/7 emergency inquiries are tracked through to booking and how response time is measured for off-hours calls.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
Roto-Rooter San Diego,"San Diego, CA",plumbing,https://www.rotorooter.com/sandiego/,(619) 596-0888,"Homepage offers online booking and phone contact for drains, water heaters, and water cleanup; advertises no extra fees for nights/weekends.",Ask how online bookings and phone inquiries are reconciled and whether any fall through the cracks during peak volume.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
California Plumbing SD,"San Diego, CA",plumbing,https://californiaplumbingsd.com/plumbing-services/emergency-plumber-services/,(619) 787-3443,Site urges visitors to call for on-call technician help and lists emergency plumber services for San Diego.,Ask how on-call requests are dispatched and whether missed calls during multi-job days are logged for follow-up.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
San Diego Plumbing & Drain,"San Diego, CA",plumbing,https://sdplumbing.co/,(619) 715-8233,"Site highlights 40+ years of service, CA Lic. #1068964, and drain cleaning, leak detection, and repipe services across San Diego County.",Ask how incoming service requests across multiple trades are triaged and whether any go unreturned during busy periods.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
Emergency Plumbing San Diego CA,"San Diego, CA",plumbing,https://www.emergencyplumbingsandiegoca.com/,(619) 356-2992,"Homepage advertises free estimates and fast, reliable plumbing repairs for San Diego homeowners; phone CTA visible.",Ask whether free-estimate requests are tracked to a booked appointment and how follow-up reminders are sent.,2026-08-14,email,contacted,Send outreach to contact@emergencyplumbingsandiegoca.com,no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com | Real email: contact@emergencyplumbingsandiegoca.com
San Diego Electrical Services,"San Diego, CA",electrical,https://www.sdesinc.com/,(619) 864-0909,Homepage positions the company as providing electrical project support and invites visitors to call for advice or scheduling.,Ask how project inquiries and advice calls are logged and whether any are lost between initial contact and scheduling.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
SD Electric Technologies,"San Diego, CA",electrical,https://my.sdelectrictech.com/electrical-services-lp,(619) 391-9855,Landing page describes locally owned 24/7 electrical services; phone number and service categories prominently displayed.,Ask how 24/7 service requests are triaged after hours and whether missed calls are reconciled the next business day.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
All Lights Electrical,"San Diego, CA",electrical,https://alllightselectrical.com/,(951) 545-8822,"Site advertises 24/7 emergency electrical service for panel upgrades, EV chargers, lighting, and troubleshooting in San Diego.",Ask how emergency and non-emergency inquiries are differentiated and whether emergency calls outside business hours are all returned.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
AER Electric,"San Diego, CA",electrical,https://www.aerelectricsd.com/electrician-san-diego,(858) 331-0129,"Site lists panel upgrades, EV charger installations, and recessed lighting; advertises 24/7 licensed electrical service.",Ask how multi-trade service requests are routed and whether any inquiries stall without a booked appointment.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
FastServus Electricians,"San Diego, CA",electrical,https://fastservus.com/california/san-diego/electrician,(619) 352-0310,"Site advertises licensed electricians responding within minutes for power outages, exposed wiring, and burning smells in San Diego.",Ask how rapid-response inquiries are tracked and whether dispatch confirmations reach all callers.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
San Diego Roofing Inc.,"San Diego, CA",roofing,https://www.sandiegoroofing.com/,(619) 280-1000,"Homepage lists residential, commercial, and industrial roofing services with separate residential and commercial phone divisions.",Ask how residential vs. commercial roofing inquiries are routed and whether any go unreturned across the two divisions.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
Ascent Roofing,"San Diego, CA",roofing,https://www.ascentroofingsd.com/,(858) 462-7753,"Site advertises roof replacement, installation, and repair as a trusted local San Diego roofing company.",Ask how estimate requests are tracked through to scheduling and whether any inquiries go cold after initial contact.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
Diamond Roofing,"San Diego, CA",roofing,https://diamondroofingsd.com/,619-295-3110,"Site describes a locally owned, full-service San Diego roofing contractor with teams specializing in both residential and commercial roofing.",Ask how incoming inspection and repair requests are prioritized and whether any slip through during storm-season volume.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
California First Roofing,"San Diego, CA",roofing,https://californiafirstroofing.com/,(424) 777-1619,"Site advertises licensed San Diego roofer with roof repair, replacement, leak repair, and 24/7 emergency service; 5-star rated.",Ask how 24/7 emergency roof calls are logged and whether off-hours inquiries are all followed up the next business day.,2026-08-14,email,contacted,Send outreach to sales@californiafirstroofing.com,no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com | Real email: sales@californiafirstroofing.com
Raindance Roofing,"San Diego, CA",roofing,https://raindanceroof.com/,619-464-2800,"Site emphasizes honest pricing, free inspections, and workmanship-backed guarantees as a San Diego roofing contractor.",Ask how free-inspection requests are tracked to a booked appointment and whether any go unreturned.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
San Diego Appliance Master,"San Diego, CA",appliance repair,https://sandiegoappliancemaster.com/,(619) 771-0720,Site positions itself as an appliance repair company serving the San Diego Metropolitan Area with phone CTA visible.,Ask how repair requests are dispatched to technicians and whether any inquiries go unreturned during peak call volume.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
858 Appliance Repair,"San Diego, CA",appliance repair,https://www.858appliance.com/appliance-repair-san-diego/,(858) 277-5426,"Site offers professional appliance repair for refrigerators, washers, dryers, and ovens in San Diego; phone number visible.",Ask how same-day repair requests are prioritized and whether any inquiries stall without a scheduled visit.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
Superior Appliances Repair San Diego,"San Diego, CA",appliance repair,https://superiorappliancesrepairsandiego.com/,(619) 489-6238,"Site advertises same-day repairs for refrigerators, washers, dryers, and more with licensed technicians; phone CTA visible.",Ask how same-day appointment requests are tracked and whether any are lost during high-demand periods.,2026-08-14,email,contacted,"Wait 2 business days, then send follow-up 1 if no reply",no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com
C Service Appliance Repair,"San Diego, CA",appliance repair,https://cserviceappliancerepair.com/,(858) 529-8880,"Site offers appliance repair, installation, and service for refrigerators, ovens, dishwashers, and washers in San Diego.",Ask how multi-appliance service requests are routed to technicians and whether any go unreturned.,2026-08-14,email,contacted,Send outreach to info@csdcca.com,no,Source page inspected 2026-08-14; phone verified from business website. | Outreach email sent 2026-08-14 via absbm14@gmail.com | Real email: info@csdcca.com
Brody Air Conditioning,"Los Angeles, CA",HVAC,https://www.brodyair.com,,Website (Brody Air Conditioning) emphasizes service offerings.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Emails found: none
CA Air Conditioning,"Los Angeles, CA",HVAC,https://www.caairconditioning.com,,Website (CA Air Conditioning) emphasizes service offerings.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Emails found: none
1st Action AC,"Los Angeles, CA",HVAC,https://www.1stactionac.com,,Website (1st Action AC) emphasizes service offerings.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Emails found: none
Big Ben Plumbing OC,"Orange County, CA",plumbing,https://www.bigbenplumbingoc.com,,Website (Big Ben Plumbing OC) emphasizes service offerings.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Emails found: none
Harde Electric,"Riverside, CA",electrical,https://www.hardelectric.com,(303) 893-0552,Website (HardElectric.com is for sale | HugeDomai) appears to have contact options.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Emails found: fancybox@3.5.7
LA Roofing Company,"Los Angeles, CA",roofing,https://www.laroofingcompany.com,,Website (LA Roofing Company) emphasizes service offerings.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Emails found: none
San Diego Emergency Plumber,"San Diego, CA",plumbing,https://sandiegoemergencyplumber.org,(858) 392-8090,"Website (Emergency Plumber San Diego, CA | San Di) appears to have contact options.",Ask how missed calls and web inquiries are tracked and returned.,2026-08-14,email,contacted,Await reply; follow up in 2-3 days if silent,no,"Emails found: info@sandiegoemergencyplumber.org, info@sandiegoemergencyplumber.org, info@sandiegoemergencyplumber.org"
ASI Hastings HVAC,"San Diego, CA",HVAC,https://www.asiheatingandair.com,(858) 266-0456,"Website (Furnace, AC Repair &amp; Plumbing Repair) appears to have contact options.",Ask how missed calls and web inquiries are tracked and returned.,2026-08-15,email,contacted,Await reply; follow up Aug 17,no,Emails found: info@asiheatingandair.com
San Diego Plumbing Pros,"San Diego, CA",plumbing,https://sandiegoplumberpros.com,,"Website (Plumber San Diego CA | Drain, Leak &amp;) appears to have contact options.",Ask how missed calls and web inquiries are tracked and returned.,2026-08-15,email,contacted,Await reply; follow up Aug 17,no,Emails found: dispatch@sandiegoplumberpros.com
Team Rooter San Diego,"San Diego, CA",plumbing,https://teamrooter.com,(178) 605-9060,Website (Clogged Drain Clearing Experts in SoCal ) appears to have contact options.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Emails found: none
SD Plumbing & Drain,"San Diego, CA",plumbing,https://sdplumbing.co,(615) 892-5291,Website (San Diego Plumbing & Drain | Licensed Pl) appears to have contact options.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Emails found: you@example.com
San Diego Electrical Services,"San Diego, CA",electrical,https://sdesinc.com,,Website (San Diego Electrical Services) appears to have contact options.,Ask how missed calls and web inquiries are tracked and returned.,2026-08-14,email,contacted,Await reply; follow up in 2-3 days if silent,no,"Emails found: intl-segmenter@11.7.10, core-js-bundle@3.2.1, focus-within-polyfill@5.0.9"
All Lights Electrical,"San Diego, CA",electrical,https://alllightselectrical.com,(620) 283-0854,Website (San Diego Electrician · 24/7 Emergency ·) appears to have contact options.,Ask how missed calls and web inquiries are tracked and returned.,2026-08-14,email,contacted,Await reply; follow up in 2-3 days if silent,no,"Emails found: AllLightsElectricalService@gmail.com, AllLightsElectricalService@gmail.com, AllLightsElectricalService@gmail.com"
AER Electric,"San Diego, CA",electrical,https://aerelectricsd.com,(856) 444-9762,Website (AER Electric) appears to have contact options.,Ask how missed calls and web inquiries are tracked and returned.,2026-08-14,email,contacted,Await reply; follow up in 2-3 days if silent,no,"Emails found: john@example.com, aerelectric556@gmail.com, aerelectric556@gmail.com"
Brody Pennell Heating & Air,"Los Angeles, CA",HVAC,https://www.brodypennell.com,(310) 810-2721,LA HVAC company with long service history.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Phone verified from website: (310) 810-2721
Cal Climate Corp,"Los Angeles, CA",HVAC,https://www.calclimate.com,(818) 843-5188,LA HVAC company serving San Fernando Valley.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Phone verified from website: (818) 843-5188
LC Heating & Air,"Los Angeles, CA",HVAC,https://www.lcheatingair.com,(323) 970-3113,LA HVAC company serving central LA area.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Phone verified from website: (323) 970-3113
Service Genius AC & Heating,"Los Angeles, CA",HVAC,https://www.servicegeniusac.com,(818) 301-3663,LA HVAC company with AC and heating services.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Phone verified from website: (818) 301-3663
Southland Heating and Air,"Los Angeles, CA",HVAC,https://www.southlandheating.com,(805) 498-6700,LA-area HVAC company.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Phone verified from website: (805) 498-6700
A-1 Total Service Plumbing,"Los Angeles, CA",plumbing,https://www.a1totalserviceplumbing.com,(323) 410-2068,LA plumbing company.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Phone verified from website: (323) 410-2068
Aire-Tech AC & Heating,"Riverside, CA",HVAC,https://www.airetechac.com,(951) 926-1002,Riverside HVAC company.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Phone verified from website: (951) 926-1002
All Seasons Comfort,"Riverside, CA",HVAC,https://www.allseasonscomfort.com,(760) 849-1031,Riverside HVAC and plumbing company.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Phone verified from website: (760) 849-1031
OC Plumbing Brea,"Orange County, CA",plumbing,https://www.ocplumbingbrea.com,(714) 459-5673,Orange County plumbing company.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Phone verified from website: (714) 459-5673
Saddleback Plumbing,"Orange County, CA",plumbing,https://www.saddlebackplumbing.com,(949) 829-0910,OC plumbing and HVAC company.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Phone verified from website: (949) 829-0910
Electrician Orange County,"Orange County, CA",electrical,https://www.electricianorangecounty.com,(657) 337-8785,OC electrical services company.,Ask how missed calls and web inquiries are tracked and returned.,,email,research_ready,Verify contact email and send outreach,no,Phone verified from website: (657) 337-8785
